geo_h3_10,predictions,model_type
8a1181b2d327fff,0.0019199691234918445,Бинарная модель
8a1181b2d32ffff,0.0022028579959003586,Бинарная модель
8a1181b2d337fff,0.0016768445779363672,Бинарная модель
8a1181b2d347fff,0.00101864361173478,Бинарная модель
8a1181b2d34ffff,0.00101864361173478,Бинарная модель
8a1181b2d357fff,0.00101864361173478,Бинарная модель
8a1181b2d35ffff,0.00101864361173478,Бинарная модель
8a1181b2d367fff,0.0008876950991271472,Бинарная модель
8a1181b2d36ffff,0.00101864361173478,Бинарная модель
8a1181b2d377fff,0.0011268008613208947,Бинарная модель
8a1181b2d387fff,0.002164313248927767,Бинарная модель
8a1181b2d38ffff,0.00101864361173478,Бинарная модель
8a1181b2d397fff,0.0017063960399290215,Бинарная модель
8a1181b2d39ffff,0.0011268008613208947,Бинарная модель
8a1181b2d3a7fff,0.0016942567542159097,Бинарная модель
8a1181b2d3affff,0.0016768445779363672,Бинарная модель
8a1181b2d3b7fff,0.002164313248927767,Бинарная модель
8a1181b2d41ffff,0.0019288189865633212,Бинарная модель
8a1181b2d487fff,0.0027266476369143013,Бинарная модель
8a1181b2d48ffff,0.0027266476369143013,Бинарная модель
8a1181b2d497fff,0.1770172091060449,Бинарная модель
8a1181b2d49ffff,0.0023824156176653825,Бинарная модель
8a1181b2d4affff,0.0025212115431801417,Бинарная модель
8a1181b2d4c7fff,0.0019288189865633212,Бинарная модель
8a1181b2d4cffff,0.0019288189865633212,Бинарная модель
8a1181b2d4d7fff,0.002086086057260867,Бинарная модель
8a1181b2d4dffff,0.0019288189865633212,Бинарная модель
8a1181b2d4f7fff,0.0019288189865633212,Бинарная модель
8a1181b2d607fff,0.002273583243273935,Бинарная модель
8a1181b2d60ffff,0.002273583243273935,Бинарная модель
8a1181b2d617fff,0.0011268008613208947,Бинарная модель
8a1181b2d61ffff,0.0011630183460770514,Бинарная модель
8a1181b2d62ffff,0.001803244562775953,Бинарная модель
8a1181b2d647fff,0.0011630183460770514,Бинарная модель
8a1181b2d64ffff,0.0011268008613208947,Бинарная модель
8a1181b2d657fff,0.0011268008613208947,Бинарная модель
8a1181b2d65ffff,0.0011268008613208947,Бинарная модель
8a1181b2d667fff,0.0011630183460770514,Бинарная модель
8a1181b2d66ffff,0.0022028579959003586,Бинарная модель
8a1181b2d677fff,0.0028164454274979493,Бинарная модель
8a1181b2d687fff,0.0008645401899817346,Бинарная модель
8a1181b2d68ffff,0.0014372185192653606,Бинарная модель
8a1181b2d697fff,0.0007587014200918518,Бинарная модель
8a1181b2d69ffff,0.0008645401899817346,Бинарная модель
8a1181b2d6a7fff,0.0011268008613208947,Бинарная модель
8a1181b2d6affff,0.0012839234859990225,Бинарная модель
8a1181b2d6b7fff,0.0016045742105752433,Бинарная модель
8a1181b2d6c7fff,0.0014372185192653606,Бинарная модель
8a1181b2d6cffff,0.0011268008613208947,Бинарная модель
8a1181b2d6d7fff,0.0014372185192653606,Бинарная модель
8a1181b2d6e7fff,0.0012839234859990225,Бинарная модель
8a1181b2d6effff,0.0011268008613208947,Бинарная модель
8a1181b2d6f7fff,0.0012839234859990225,Бинарная модель
8a1181b2d747fff,0.002303468987558508,Бинарная модель
8a1181b2d74ffff,0.0011268008613208947,Бинарная модель
8a1181b2d757fff,0.001803244562775953,Бинарная модель
8a1181b2d75ffff,0.0022028579959003586,Бинарная модель
8a1181b2d767fff,0.002303468987558508,Бинарная модель
8a1181b2d76ffff,0.002303468987558508,Бинарная модель
8a1181b2d787fff,0.0016851405167927196,Бинарная модель
8a1181b2d78ffff,0.003435301354830615,Бинарная модель
8a1181b2d797fff,0.00155772869044561,Бинарная модель
8a1181b2d79ffff,0.0022028579959003586,Бинарная модель
